Name,18cap,18cash,19cap,19cash,20cap,20cash, sumCap , sumCash ,meanCap , meanCash 
Andy Lee,"2,377,500","2,015,000","2,000,000","2,000,000","2,000,000","2,000,000",6.378,6.015,2.126,2.005
Sam Koch,"3,550,000","2,750,000","3,950,000","3,150,000","2,150,000","4,250,000",9.650,10.150,3.217,3.383
Corey Bojorquez,"418,059","418,059","570,000","570,000","750,000","750,000",1.738,1.738,0.579,0.579
Michael Palardy,"1,230,000","2,630,000","1,400,000","900,000","1,100,000","1,600,000",3.730,5.130,1.243,1.71
Pat O'Donnell,"1,500,000","1,500,000","1,650,000","1,750,000","1,850,000","1,750,000",5.000,5.000,1.667,1.667
Kevin Huber,"2,300,000","3,000,000","2,750,000","2,550,000","3,050,000","2,550,000",8.100,8.100,2.7,2.7
Chris Jones,"1,700,000","1,200,000","2,300,000","1,800,000","2,400,000","1,900,000",6.400,4.900,2.133,1.633
Colby Wadman,"367,059","367,059","570,000","570,000",0,0,0.937,0.937,0.469,0.469
Sam Martin,"2,925,000","2,425,000","2,300,000","1,800,000","1,533,333","2,500,000",6.758,6.725,2.253,2.242
J.K. Scott,"534,389","697,556","624,389","570,000","804,389","750,000",1.963,2.018,0.654,0.673
Bryan Anger,"3,000,000","3,000,000","569,118","820,588","2,416,666","3,250,000",5.986,7.071,1.995,2.357
Rigoberto Sanchez,"559,000","555,000","3,004,000","3,000,000","2,000,000","2,000,000",5.563,5.555,1.854,1.852
Ryan Allen,"2,000,000","1,500,000","189,412","189,412",0,0,2.189,1.689,1.095,0.845
Logan Cooke,"497,906","551,624","587,906","570,000","767,906","750,000",1.854,1.872,0.618,0.624
Johnny Hekker,"2,678,554","3,000,001","2,187,000","3,250,000","4,687,000","3,500,000",9.553,9.750,3.184,3.25
A.J. Cole,0,0,"495,833","497,500","675,833","675,000",1.172,1.173,0.586,0.586
Matt Haack,"556,333","555,000","646,334","645,000","2,133,000","2,133,000",3.336,3.333,1.112,1.111
Britton Colquitt,"2,550,000","2,550,000","645,000","930,000","1,816,666","3,250,000",5.012,6.730,1.671,2.243
Jake Bailey,0,0,"567,520","785,080","747,520","675,000",1.315,1.460,0.658,0.73
Thomas Morstead,"2,650,000","5,950,000","4,250,000","3,250,000","4,300,000","3,300,000",11.200,12.500,3.733,4.167
Riley Dixon,"630,000","630,000","865,002","1,220,000","2,785,000","2,660,000",4.280,4.510,1.427,1.503
Lachlan Edwards,"648,949","630,000","738,949","720,000","654,275","787,100",2.042,2.137,0.681,0.712
Cameron Johnston,"487,500","495,000","577,500","570,000","750,000","750,000",1.815,1.815,0.605,0.605
Jordan Berry,"1,907,000","1,907,000","1,525,000","1,900,000","485,294","588,824",3.917,4.396,1.306,1.465
Michael Dickson,"552,538","770,152","642,538","570,000","822,538","750,000",2.018,2.090,0.673,0.697
Mitch Wishnowsky,0,0,"686,018","1,259,072","866,018","675,000",1.552,1.934,0.776,0.967
Bradley Pinion,"753,550","705,000","2,600,000","2,600,000","2,700,000","2,700,000",6.054,6.005,2.018,2.002
Brett Kern,"3,500,000","3,000,000","2,950,000","4,100,000","3,300,000","2,650,000",9.750,9.750,3.25,3.25
Tress Way,"1,750,000","1,500,000","1,900,000","1,650,000","2,600,000","4,750,000",6.250,7.900,2.083,2.633
